match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,p1_score,p2_score,server,serve_no,point_victor,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,serve_width,serve_depth,return_depth
2023-Wembledon,M. Vondrousova,O. Jabeur,,2,8,113,1,0,3,4,30,15,1,1,1,,,0,0,0,0,1,0,,0,0,0,0,,,,,0,0,0,0,0,0,,,,,,,
2023-Wembledon,M. Vondrousova,O. Jabeur,,2,8,114,1,0,3,4,40,15,1,1,1,,,1,0,0,0,0,1,,0,0,0,1,,,,,0,0,0,0,0,0,,,,,,,
2023-Wembledon,M. Vondrousova,O. Jabeur,,2,9,115,1,0,4,4,0,0,2,1,1,,,0,0,0,0,0,0,,0,0,0,1,,,,,0,0,0,0,0,0,,,,,,,
2023-Wembledon,M. Vondrousova,O. Jabeur,,2,9,116,1,0,4,4,15,0,2,2,2,,,0,0,0,0,0,0,,0,0,0,0,,,,,0,0,0,0,0,0,,,,,,,
2023-Wembledon,M. Vondrousova,O. Jabeur,,2,9,117,1,0,4,4,15,15,2,1,1,,,0,0,0,0,0,0,,0,0,0,1,,,,,0,0,0,0,0,0,,,,,,,
2023-Wembledon,M. Vondrousova,O. Jabeur,,2,9,118,1,0,4,4,30,15,2,1,2,,,0,0,0,0,0,0,,0,0,0,0,,,,,0,0,0,0,0,0,,,,,,,
2023-Wembledon,M. Vondrousova,O. Jabeur,,2,9,119,1,0,4,4,30,30,2,1,1,,,0,0,0,0,1,0,,0,0,0,1,,,,,0,0,0,0,0,0,,,,,,,
2023-Wembledon,M. Vondrousova,O. Jabeur,,2,9,120,1,0,4,4,40,30,2,1,1,,,1,0,0,0,0,1,,0,0,0,1,,,,,1,0,1,0,0,0,,,,,,,
2023-Wembledon,M. Vondrousova,O. Jabeur,,2,10,121,1,0,5,4,0,0,1,1,1,,,0,0,0,0,0,0,,0,0,0,1,,,,,0,0,0,0,0,0,,,,,,,
2023-Wembledon,M. Vondrousova,O. Jabeur,,2,10,122,1,0,5,4,15,0,1,1,1,,,0,0,0,0,1,0,,0,0,0,0,,,,,0,0,0,0,0,0,,,,,,,
2023-Wembledon,M. Vondrousova,O. Jabeur,,2,10,123,1,0,5,4,30,0,1,2,1,,,0,0,0,0,0,0,,0,0,0,0,,,,,0,0,0,0,0,0,,,,,,,
2023-Wembledon,M. Vondrousova,O. Jabeur,,2,10,124,1,0,5,4,40,0,1,2,2,,,0,0,0,0,0,0,,1,0,1,0,,,,,0,0,0,0,0,0,,,,,,,
2023-Wembledon,M. Vondrousova,O. Jabeur,,2,10,125,1,0,5,4,40,15,1,1,1,,,1,1,0,0,0,0,,0,0,0,0,,,,,0,0,0,0,0,0,,,,,,,
